,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
5548,224485000,36.7209,-3.5240667,0.0,25.0,261.2,-7.0,,2366,POINT(-3.5240667 36.7209)
5549,224485000,36.720757,-3.52388,0.0,25.0,261.2,-7.0,,2366,POINT(-3.52388 36.720757)
5550,224485000,36.720856,-3.5239384,0.0,25.0,261.2,9.0,,2366,POINT(-3.5239384 36.720856)
5552,224485000,36.72089,-3.524045,0.0,25.0,261.2,13.0,,2366,POINT(-3.524045 36.72089)
5553,224485000,36.72088,-3.52398,0.0,25.0,248.3,8.0,,2366,POINT(-3.52398 36.72088)
5554,224485000,36.720825,-3.52403,0.0,25.0,258.5,-7.0,,2366,POINT(-3.52403 36.720825)
5556,224485000,36.72088,-3.523985,0.0,25.0,239.7,-7.0,,2366,POINT(-3.523985 36.72088)
5557,224485000,36.720947,-3.52399,0.0,25.0,135.9,8.0,,2366,POINT(-3.52399 36.720947)
5558,224485000,36.720867,-3.523945,0.0,25.0,228.9,-9.0,,2366,POINT(-3.523945 36.720867)
5559,224485000,36.720886,-3.52401,0.0,25.0,219.0,7.0,,2366,POINT(-3.52401 36.720886)
5560,224485000,36.720867,-3.52395,0.0,25.0,219.0,-8.0,,2366,POINT(-3.52395 36.720867)
5561,224485000,36.720848,-3.524095,0.0,25.0,316.6,11.0,,2366,POINT(-3.524095 36.720848)
5562,224485000,36.720844,-3.5239983,0.0,25.0,228.9,11.0,,2366,POINT(-3.5239983 36.720844)
5563,224485000,36.720863,-3.524085,0.0,25.0,135.9,5.0,,2366,POINT(-3.524085 36.720863)
5564,224485000,36.7209,-3.524005,0.0,25.0,228.9,-9.0,,2366,POINT(-3.524005 36.7209)
5566,224485000,36.720825,-3.5238917,0.0,25.0,228.9,-5.0,,2366,POINT(-3.5238917 36.720825)
5568,224485000,36.72089,-3.5240066,0.0,25.0,228.9,12.0,,2366,POINT(-3.5240066 36.72089)
5569,224485000,36.720882,-3.5240567,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5240567 36.720882)
5570,224485000,36.72083,-3.523985,0.0,25.0,228.9,-7.0,,2366,POINT(-3.523985 36.72083)
5571,224485000,36.720924,-3.5239434,0.0,25.0,238.1,-12.0,,2366,POINT(-3.5239434 36.720924)
5572,224485000,36.721016,-3.5239716,0.0,25.0,258.5,9.0,,2366,POINT(-3.5239716 36.721016)
5573,224485000,36.720863,-3.52412,0.0,25.0,228.9,-5.0,,2366,POINT(-3.52412 36.720863)
5574,224485000,36.72081,-3.5239635,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5239635 36.72081)
5575,224485000,36.72086,-3.5239367,0.0,25.0,238.1,5.0,,2366,POINT(-3.5239367 36.72086)
5577,224485000,36.720947,-3.5239434,0.0,25.0,258.5,-9.0,,2366,POINT(-3.5239434 36.720947)
5581,224485000,36.720898,-3.52404,0.0,25.0,258.5,-8.0,,2366,POINT(-3.52404 36.720898)
5582,224485000,36.72088,-3.5239518,0.0,25.0,228.9,7.0,,2366,POINT(-3.5239518 36.72088)
5584,224485000,36.720913,-3.5239468,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5239468 36.720913)
5585,224485000,36.720943,-3.52387,0.0,25.0,228.9,8.0,,2366,POINT(-3.52387 36.720943)
5586,224485000,36.720913,-3.52397,0.0,25.0,228.9,-8.0,,2366,POINT(-3.52397 36.720913)
5587,224485000,36.720856,-3.5240216,0.0,25.0,261.2,9.0,,2366,POINT(-3.5240216 36.720856)
5588,224485000,36.720898,-3.5239832,0.0,25.0,261.2,-8.0,,2366,POINT(-3.5239832 36.720898)
5589,224485000,36.72091,-3.5240617,0.0,25.0,219.0,9.0,,2366,POINT(-3.5240617 36.72091)
5591,224485000,36.720886,-3.5239866,0.0,25.0,248.3,-8.0,,2366,POINT(-3.5239866 36.720886)
5592,224485000,36.720943,-3.5239966,0.0,25.0,316.6,-8.0,,2366,POINT(-3.5239966 36.720943)
5593,224485000,36.72089,-3.52398,0.0,25.0,135.9,5.0,,2366,POINT(-3.52398 36.72089)
5594,224485000,36.72086,-3.5239584,0.0,25.0,135.9,-7.0,,2366,POINT(-3.5239584 36.72086)
5595,224485000,36.72084,-3.5240867,0.0,25.0,135.9,-14.0,,2366,POINT(-3.5240867 36.72084)
5596,224485000,36.7208,-3.524,0.0,25.0,135.9,8.0,,2366,POINT(-3.524 36.7208)
5597,224485000,36.720943,-3.5240266,0.0,25.0,258.5,8.0,,2366,POINT(-3.5240266 36.720943)
5599,224485000,36.720898,-3.5239067,0.0,25.0,245.7,-8.0,,2366,POINT(-3.5239067 36.720898)
5600,224485000,36.720833,-3.5239766,0.0,25.0,238.1,-8.0,,2366,POINT(-3.5239766 36.720833)
5601,224485000,36.720837,-3.5239666,0.0,25.0,238.1,12.0,,2366,POINT(-3.5239666 36.720837)
5602,224485000,36.720905,-3.5239782,0.0,25.0,261.2,-8.0,,2366,POINT(-3.5239782 36.720905)
5604,224485000,36.72087,-3.52398,0.0,25.0,219.0,-12.0,,2366,POINT(-3.52398 36.72087)
5605,224485000,36.72084,-3.52394,0.0,25.0,228.9,-7.0,,2366,POINT(-3.52394 36.72084)
5606,224485000,36.720856,-3.52398,0.0,25.0,239.7,8.0,,2366,POINT(-3.52398 36.720856)
5607,224485000,36.720867,-3.5239666,0.0,25.0,239.7,-9.0,,2366,POINT(-3.5239666 36.720867)
5609,224485000,36.7209,-3.5239983,0.0,25.0,321.7,8.0,,2366,POINT(-3.5239983 36.7209)
5610,224485000,36.720856,-3.5240066,0.0,25.0,321.7,11.0,,2366,POINT(-3.5240066 36.720856)
5611,224485000,36.720905,-3.523955,0.0,25.0,338.2,-9.0,,2366,POINT(-3.523955 36.720905)
5612,224485000,36.720863,-3.5239716,0.0,25.0,258.5,-12.0,,2366,POINT(-3.5239716 36.720863)
5613,224485000,36.720955,-3.52404,0.0,25.0,261.2,-9.0,,2366,POINT(-3.52404 36.720955)
5616,224485000,36.720863,-3.5239832,0.0,25.0,219.0,8.0,,2366,POINT(-3.5239832 36.720863)
5617,224485000,36.720882,-3.52404,0.0,25.0,248.3,-9.0,,2366,POINT(-3.52404 36.720882)
5618,224485000,36.7208,-3.5240066,0.0,25.0,228.9,11.0,,2366,POINT(-3.5240066 36.7208)
5619,224485000,36.72087,-3.5238967,0.0,25.0,239.7,-11.0,,2366,POINT(-3.5238967 36.72087)
5620,224485000,36.720833,-3.5239832,0.0,25.0,239.7,7.0,,2366,POINT(-3.5239832 36.720833)
5621,224485000,36.720886,-3.5240233,0.0,25.0,239.7,-8.0,,2366,POINT(-3.5240233 36.720886)
