,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
54,413865667,22.347403,114.1196,0.8,345.0,348.3,,,3176,POINT(114.1196 22.347403)
55,477995391,22.315521,114.198044,0.9,511.0,230.1,,,3176,POINT(114.198044 22.315521)
56,477991678,22.310106,114.294304,0.9,224.0,360.0,,,3176,POINT(114.294304 22.310106)
57,413867251,22.357086,114.113884,0.8,135.0,135.4,,,3176,POINT(114.113884 22.357086)
58,412481529,22.454893,114.21184,0.8,511.0,254.2,,,3176,POINT(114.21184 22.454893)
59,477995391,22.315449,114.199165,0.9,511.0,249.3,,,3176,POINT(114.199165 22.315449)
60,43290393,22.456957,114.21152,0.9,511.0,151.6,,,3176,POINT(114.21152 22.456957)
61,413995708,22.348072,114.11854,0.8,302.0,302.1,,,3176,POINT(114.11854 22.348072)
62,477990000,22.36578,114.10534,0.8,511.0,283.6,,,3176,POINT(114.10534 22.36578)
63,900012624,22.353228,114.11109,0.9,511.0,240.9,,,3176,POINT(114.11109 22.353228)
64,477995391,22.31385,114.21011,0.8,511.0,74.3,,,3176,POINT(114.21011 22.31385)
65,413901094,22.348024,114.11982,0.9,73.0,76.4,,,3176,POINT(114.11982 22.348024)
66,477995391,22.31524,114.199135,0.8,511.0,54.8,,,3176,POINT(114.199135 22.31524)
67,477990000,22.36606,114.1054,0.8,511.0,310.9,,,3176,POINT(114.1054 22.36606)
68,477995391,22.316628,114.199776,0.9,511.0,5.4,,,3176,POINT(114.199776 22.316628)
69,413907701,22.347042,114.120094,0.9,136.0,137.4,,,3176,POINT(114.120094 22.347042)
70,413850327,22.347578,114.119644,0.8,301.0,301.7,,,3176,POINT(114.119644 22.347578)
71,413867251,22.357084,114.11436,0.8,355.0,355.6,,,3176,POINT(114.11436 22.357084)
72,886688220,22.315811,114.30125,0.9,511.0,266.0,,,3176,POINT(114.30125 22.315811)
73,413866907,22.34726,114.12008,0.8,182.0,184.0,,,3176,POINT(114.12008 22.34726)
74,9132808,22.31772,114.31114,0.9,316.0,316.0,,,3176,POINT(114.31114 22.31772)
75,477995391,22.315193,114.19916,0.8,511.0,326.0,,,3176,POINT(114.19916 22.315193)
76,412529176,22.455208,114.21203,0.9,511.0,120.6,,,3176,POINT(114.21203 22.455208)
77,413762707,22.356472,114.11474,0.8,511.0,138.7,,,3176,POINT(114.11474 22.356472)
78,477995391,22.313456,114.20848,0.8,511.0,221.7,,,3176,POINT(114.20848 22.313456)
79,412461985,22.492437,114.40758,0.8,511.0,100.6,,,3176,POINT(114.40758 22.492437)
80,477995391,22.315266,114.20051,0.9,511.0,69.2,,,3176,POINT(114.20051 22.315266)
81,412470844,22.488749,114.00143,0.8,511.0,6.8,,,3176,POINT(114.00143 22.488749)
82,43955510,22.456377,114.21099,0.8,511.0,68.6,,,3176,POINT(114.21099 22.456377)
83,413906859,22.347261,114.12004,0.9,511.0,14.6,,,3176,POINT(114.12004 22.347261)
84,477995391,22.313099,114.20968,0.8,511.0,215.8,,,3176,POINT(114.20968 22.313099)
85,477996525,22.351068,114.11368,0.9,511.0,331.4,,,3176,POINT(114.11368 22.351068)
86,477995391,22.315876,114.198296,0.9,511.0,81.4,,,3176,POINT(114.198296 22.315876)
87,492604214,22.31668,114.34284,0.8,143.0,143.9,,,3176,POINT(114.34284 22.31668)
88,413901217,22.348198,114.1187,0.9,62.0,64.0,,,3176,POINT(114.1187 22.348198)
89,413900779,22.347225,114.1199,0.9,307.0,307.6,,,3176,POINT(114.1199 22.347225)
90,413844888,22.34694,114.12016,0.8,94.0,94.1,,,3176,POINT(114.12016 22.34694)
91,812908682,22.354218,114.11051,0.9,511.0,165.6,,,3176,POINT(114.11051 22.354218)
92,477995391,22.313469,114.21125,0.9,511.0,323.3,,,3176,POINT(114.21125 22.313469)
93,413900657,22.347492,114.11956,0.8,59.0,59.4,,,3176,POINT(114.11956 22.347492)
94,477995391,22.313637,114.210175,0.9,511.0,180.1,,,3176,POINT(114.210175 22.313637)
95,132001575,22.42596,114.43758,0.9,511.0,209.0,,,3176,POINT(114.43758 22.42596)
96,412344675,22.436155,114.40643,0.8,511.0,334.2,,,3176,POINT(114.40643 22.436155)
97,477995391,22.313723,114.21001,0.9,511.0,6.8,,,3176,POINT(114.21001 22.313723)
98,477995391,22.313236,114.2112,0.8,511.0,235.3,,,3176,POINT(114.2112 22.313236)
99,412481529,22.454493,114.21186,0.8,511.0,159.4,,,3176,POINT(114.21186 22.454493)
100,800333305,22.39186,114.39704,0.9,511.0,195.4,,,3176,POINT(114.39704 22.39186)
101,477995391,22.315716,114.19821,0.9,511.0,1.3,,,3176,POINT(114.19821 22.315716)
102,477995562,22.315884,114.199486,0.8,511.0,335.3,,,3176,POINT(114.199486 22.315884)
103,477995391,22.316486,114.19984,0.8,511.0,348.2,,,3176,POINT(114.19984 22.316486)
104,412529421,22.457193,114.20562,0.9,511.0,0.0,,,3176,POINT(114.20562 22.457193)
105,477995248,22.366,114.09218,0.8,511.0,129.4,,,3176,POINT(114.09218 22.366)
106,413980449,22.348013,114.11973,0.9,328.0,328.6,,,3176,POINT(114.11973 22.348013)
107,412529359,22.327896,114.31381,0.9,3.0,3.3,,,3176,POINT(114.31381 22.327896)
108,412472780,22.347813,114.120094,0.8,511.0,145.5,,,3176,POINT(114.120094 22.347813)
109,934800016,22.305574,114.26557,0.9,0.0,0.0,,,3176,POINT(114.26557 22.305574)
110,477995561,22.315294,114.20022,0.8,511.0,294.2,,,3176,POINT(114.20022 22.315294)
111,413907141,22.347218,114.120186,0.9,159.0,163.7,,,3176,POINT(114.120186 22.347218)
112,477995391,22.31672,114.1997,0.9,511.0,162.6,,,3176,POINT(114.1997 22.31672)
113,43955510,22.456287,114.21118,0.8,511.0,326.4,,,3176,POINT(114.21118 22.456287)
114,477995391,22.315134,114.20038,0.9,511.0,88.6,,,3176,POINT(114.20038 22.315134)
115,413901877,22.358078,114.11367,0.8,49.0,49.8,,,3176,POINT(114.11367 22.358078)
116,413900953,22.354914,114.11595,0.8,511.0,88.3,,,3176,POINT(114.11595 22.354914)
117,413901558,22.347954,114.11983,0.8,1.0,1.6,,,3176,POINT(114.11983 22.347954)
118,413900787,22.3561,114.11467,0.9,168.0,168.0,,,3176,POINT(114.11467 22.3561)
119,413000080,22.448166,114.20689,0.9,511.0,249.9,,,3176,POINT(114.20689 22.448166)
120,413906684,22.347013,114.120224,0.8,289.0,304.0,,,3176,POINT(114.120224 22.347013)
121,413900777,22.347773,114.12001,0.8,174.0,174.2,,,3176,POINT(114.12001 22.347773)
122,413848468,22.359375,114.112915,0.8,357.0,357.3,,,3176,POINT(114.112915 22.359375)
123,477995391,22.31581,114.19882,0.8,511.0,53.2,,,3176,POINT(114.19882 22.31581)
124,413906756,22.347986,114.11832,0.8,103.0,103.0,0.0,,3176,POINT(114.11832 22.347986)
125,477996371,22.366533,114.103615,0.8,186.0,360.0,0.0,,3176,POINT(114.103615 22.366533)
126,477996371,22.366264,114.10396,0.8,178.0,360.0,0.0,,3176,POINT(114.10396 22.366264)
127,477996371,22.365719,114.10363,0.9,183.0,360.0,0.0,,3176,POINT(114.10363 22.365719)
128,477996371,22.365633,114.1058,0.9,51.0,193.0,0.0,,3176,POINT(114.1058 22.365633)
129,477996371,22.366062,114.104065,0.8,177.0,360.0,0.0,,3176,POINT(114.104065 22.366062)
130,477996371,22.365723,114.10399,0.8,179.0,360.0,0.0,,3176,POINT(114.10399 22.365723)
131,477996875,22.423592,114.21642,0.9,182.0,273.5,0.0,,3176,POINT(114.21642 22.423592)
132,477996371,22.36633,114.10316,0.8,263.0,360.0,0.0,,3176,POINT(114.10316 22.36633)
133,477996471,22.317629,114.196465,0.9,511.0,44.4,0.0,,3176,POINT(114.196465 22.317629)
134,477995233,22.367466,114.100334,0.8,104.0,75.0,0.0,,3176,POINT(114.100334 22.367466)
135,477996235,22.313114,114.20966,0.8,511.0,93.3,0.0,,3176,POINT(114.20966 22.313114)
136,477996235,22.313335,114.20987,0.8,511.0,128.0,0.0,,3176,POINT(114.20987 22.313335)
137,477095700,22.365917,114.100586,0.8,30.0,136.3,0.0,,3176,POINT(114.100586 22.365917)
138,477996004,22.368896,114.101585,0.9,29.0,112.8,0.0,,3176,POINT(114.101585 22.368896)
139,413229070,22.34701,114.120186,0.8,93.0,184.2,0.0,,3176,POINT(114.120186 22.34701)
140,477996375,22.342537,114.297005,0.8,11.0,247.9,0.0,,3176,POINT(114.297005 22.342537)
141,477996371,22.365536,114.10528,0.8,248.0,360.0,0.0,,3176,POINT(114.10528 22.365536)
142,413489510,22.348167,114.11874,0.8,305.0,283.4,0.0,,3176,POINT(114.11874 22.348167)
143,477996371,22.366196,114.1066,0.9,73.0,234.1,0.0,,3176,POINT(114.1066 22.366196)
144,477995535,22.370932,114.1037,0.9,103.0,54.5,0.0,,3176,POINT(114.1037 22.370932)
145,477991700,22.367268,114.09988,0.8,47.0,284.7,0.0,,3176,POINT(114.09988 22.367268)
146,477996235,22.313208,114.211136,0.8,511.0,226.2,0.0,,3176,POINT(114.211136 22.313208)
147,477996371,22.366528,114.10683,0.9,173.0,360.0,0.0,,3176,POINT(114.10683 22.366528)
148,477996892,22.42269,114.216064,0.9,137.0,49.2,0.0,,3176,POINT(114.216064 22.42269)
149,518415000,22.387419,114.288734,0.8,97.0,143.6,0.0,,3176,POINT(114.288734 22.387419)
150,477996892,22.45753,114.20446,0.9,23.0,162.8,0.0,,3176,POINT(114.20446 22.45753)
151,477996371,22.366764,114.106865,0.9,13.0,360.0,0.0,,3176,POINT(114.106865 22.366764)
152,477996371,22.365334,114.106346,0.8,222.0,360.0,0.0,,3176,POINT(114.106346 22.365334)
153,477995929,22.315353,114.19857,0.8,511.0,257.7,0.0,,3176,POINT(114.19857 22.315353)
154,413901102,22.347073,114.12,0.8,321.0,321.6,0.0,,3176,POINT(114.12 22.347073)
155,477996349,22.317842,114.197014,0.9,511.0,204.2,0.0,,3176,POINT(114.197014 22.317842)
156,477995052,22.3476,114.11971,0.8,511.0,353.1,-128.0,,3176,POINT(114.11971 22.3476)
157,477996386,22.368073,114.10664,0.9,511.0,14.9,-128.0,,3176,POINT(114.10664 22.368073)
158,477995140,22.370754,114.10516,0.8,511.0,271.2,-128.0,,3176,POINT(114.10516 22.370754)
159,477601000,22.367542,114.10695,0.9,511.0,360.0,-128.0,,3176,POINT(114.10695 22.367542)
160,477601000,22.367386,114.1068,0.8,511.0,360.0,-128.0,,3176,POINT(114.1068 22.367386)
161,477996843,22.36604,114.10403,0.9,511.0,360.0,-128.0,,3176,POINT(114.10403 22.36604)
162,477601000,22.367558,114.10693,0.9,511.0,360.0,-128.0,,3176,POINT(114.10693 22.367558)
163,477995158,22.366037,114.0997,0.9,511.0,27.2,-128.0,,3176,POINT(114.0997 22.366037)
164,477996173,22.353903,114.11073,0.9,511.0,7.3,-128.0,,3176,POINT(114.11073 22.353903)
165,477996171,22.36552,114.10927,0.8,511.0,360.0,-128.0,,3176,POINT(114.10927 22.36552)
166,477995453,22.317371,114.19475,0.8,511.0,124.3,-128.0,,3176,POINT(114.19475 22.317371)
167,477122334,22.35683,114.11429,0.9,511.0,149.4,-128.0,,3176,POINT(114.11429 22.35683)
168,477601000,22.367596,114.106895,0.8,511.0,360.0,-128.0,,3176,POINT(114.106895 22.367596)
169,477995176,22.364857,114.109375,0.8,511.0,15.8,-128.0,,3176,POINT(114.109375 22.364857)
170,477996427,22.366646,114.10651,0.8,511.0,72.9,-128.0,,3176,POINT(114.10651 22.366646)
171,477995051,22.35431,114.11002,0.9,511.0,53.0,-128.0,,3176,POINT(114.11002 22.35431)
172,477995045,22.363132,114.10996,0.8,511.0,334.3,-128.0,,3176,POINT(114.10996 22.363132)
173,477996427,22.366737,114.10706,0.8,511.0,315.8,-128.0,,3176,POINT(114.10706 22.366737)
174,477601000,22.367416,114.10701,0.8,511.0,360.0,-128.0,,3176,POINT(114.10701 22.367416)
175,477995436,22.36637,114.110565,0.9,511.0,196.2,-128.0,,3176,POINT(114.110565 22.36637)
176,477995177,22.368982,114.100975,0.8,511.0,356.4,-128.0,,3176,POINT(114.100975 22.368982)
177,477995165,22.367002,114.099945,0.9,511.0,84.3,-128.0,,3176,POINT(114.099945 22.367002)
178,477996427,22.367191,114.10712,0.8,511.0,74.6,-128.0,,3176,POINT(114.10712 22.367191)
179,412620160,22.347298,114.11993,0.9,511.0,248.4,-128.0,,3176,POINT(114.11993 22.347298)
180,477996427,22.366709,114.10668,0.8,511.0,58.9,-128.0,,3176,POINT(114.10668 22.366709)
181,477995165,22.366436,114.09957,0.8,511.0,290.4,-128.0,,3176,POINT(114.09957 22.366436)
182,477601000,22.367485,114.10692,0.8,511.0,360.0,-128.0,,3176,POINT(114.10692 22.367485)
183,477996262,22.313526,114.2104,0.8,511.0,265.0,-128.0,,3176,POINT(114.2104 22.313526)
184,477996280,22.371065,114.104614,0.9,511.0,184.5,-128.0,,3176,POINT(114.104614 22.371065)
185,477995128,22.36403,114.10605,0.9,511.0,94.9,-128.0,,3176,POINT(114.10605 22.36403)
186,477995460,22.367096,114.110146,0.8,511.0,259.9,-128.0,,3176,POINT(114.110146 22.367096)
187,477478300,22.354158,114.109764,0.8,511.0,36.0,-128.0,,3176,POINT(114.109764 22.354158)
188,477601000,22.367517,114.10699,0.8,511.0,360.0,-128.0,,3176,POINT(114.10699 22.367517)
189,477995957,22.355747,114.110146,0.8,511.0,294.7,-128.0,,3176,POINT(114.110146 22.355747)
190,477601000,22.367521,114.10693,0.9,511.0,360.0,-128.0,,3176,POINT(114.10693 22.367521)
191,477996427,22.36668,114.10651,0.9,511.0,151.2,-128.0,,3176,POINT(114.10651 22.36668)
192,413480680,22.439342,114.21246,0.8,511.0,35.4,-128.0,,3176,POINT(114.21246 22.439342)
193,477995408,22.365734,114.10959,0.8,511.0,352.7,-128.0,,3176,POINT(114.10959 22.365734)
194,477995322,22.31488,114.2002,0.8,511.0,37.6,-128.0,,3176,POINT(114.2002 22.31488)
195,477995458,22.367344,114.108665,0.8,511.0,273.3,-128.0,,3176,POINT(114.108665 22.367344)
196,477995161,22.366133,114.099884,0.8,355.0,295.7,-128.0,,3176,POINT(114.099884 22.366133)
197,477996386,22.368027,114.10649,0.8,511.0,284.8,-128.0,,3176,POINT(114.10649 22.368027)
198,477601000,22.367584,114.106895,0.8,511.0,360.0,-128.0,,3176,POINT(114.106895 22.367584)
199,477995165,22.366505,114.09963,0.8,511.0,358.5,-128.0,,3176,POINT(114.09963 22.366505)
200,477519200,22.354834,114.113,0.9,511.0,207.8,-128.0,,3176,POINT(114.113 22.354834)
201,477996217,22.31445,114.20062,0.8,511.0,116.3,-128.0,,3176,POINT(114.20062 22.31445)
202,477995619,22.316082,114.19461,0.8,511.0,29.0,-128.0,,3176,POINT(114.19461 22.316082)
203,477996371,22.365856,114.10537,0.8,511.0,100.5,-128.0,,3176,POINT(114.10537 22.365856)
204,477996023,22.36981,114.102615,0.8,511.0,313.3,-128.0,,3176,POINT(114.102615 22.36981)
205,477995957,22.363873,114.10394,0.9,511.0,7.6,-128.0,,3176,POINT(114.10394 22.363873)
206,477995123,22.354431,114.10986,0.9,511.0,69.0,-128.0,,3176,POINT(114.10986 22.354431)
207,477996507,22.343704,114.27212,0.9,511.0,295.1,-128.0,,3176,POINT(114.27212 22.343704)
208,477995225,22.35427,114.11078,0.8,511.0,107.6,-128.0,,3176,POINT(114.11078 22.35427)
209,477996186,22.365068,114.10657,0.8,511.0,99.7,-128.0,,3176,POINT(114.10657 22.365068)
210,477996784,22.366426,114.0965,0.9,511.0,101.3,-128.0,,3176,POINT(114.0965 22.366426)
211,477995465,22.4193,114.21624,0.9,511.0,360.0,-128.0,,3176,POINT(114.21624 22.4193)
212,477995056,22.356852,114.1097,0.8,511.0,167.8,-128.0,,3176,POINT(114.1097 22.356852)
213,477996386,22.367144,114.1022,0.9,511.0,360.0,-128.0,,3176,POINT(114.1022 22.367144)
214,477995165,22.366951,114.10996,0.9,511.0,65.3,-128.0,,3176,POINT(114.10996 22.366951)
215,477995296,22.366396,114.099556,0.8,511.0,339.1,-128.0,,3176,POINT(114.099556 22.366396)
216,477996002,22.366232,114.10989,0.9,511.0,360.0,-128.0,,3176,POINT(114.10989 22.366232)
217,477995119,22.36437,114.10956,0.8,511.0,110.7,-128.0,,3176,POINT(114.10956 22.36437)
218,477995165,22.36622,114.09952,0.8,511.0,200.6,-128.0,,3176,POINT(114.09952 22.36622)
219,477601000,22.367392,114.1069,0.8,511.0,360.0,-128.0,,3176,POINT(114.1069 22.367392)
